Name,Target Muscle,Type,MET Value,Description,Difficulty,Caution,Youtube Links,Time Segment
Side-to-side push-up,Chest,Strength,6.5,1. Get into wide push-up position.  2. Shift body weight to one side and lower.  3. Push up and repeat to the other side.  4. Maintain plank form throughout.,Advanced,None,https://youtube.com/shorts/XX63SPFGuVg?si=q1paSxRMlDoto-JX,
Spiderman Push-Up,Chest,Strength,6.5,1. Begin in push-up position.  2. Lower body while bringing knee to same-side elbow.  3. Return to start and switch sides.  4. Keep movement smooth and controlled.,Advanced,None,https://youtube.com/shorts/XX63SPFGuVg?si=q1paSxRMlDoto-JX,
Scissors Jump,Quadriceps,Cardio,6.5,1. Stand in a lunge position.  2. Jump and switch legs mid-air.  3. Land softly in opposite lunge.  4. Use arms for balance.,Intermediate,"Plyometric, HIIT",https://youtu.be/5VlnYBz64Pg?si=kyxD37nYkyt1FwDt,
Jump Lunge,Abdominals,Cardio,6.5,1. Begin in a lunge stance.  2. Explode up and switch legs mid-air.  3. Land in lunge on opposite side.  4. Maintain upright torso and balance.,Intermediate,"Plyometric, HIIT",https://youtu.be/0lxr_mvYQeQ?si=7HNGYFKgjg-48jrK,
Hands-Elevated Burpee,Abdominals,Cardio,6.5,1. Place hands on bench or surface.  2. Jump feet back to plank.  3. Jump feet forward and stand.  4. Add a jump if desired.,Beginner,"Plyometric, HIIT",https://youtube.com/shorts/uSiOsJuWU-c?si=i4Aqn6hZs-aH7pEN,
Cross-Over Jack,Abductors,Cardio,6.5,"1. Stand tall with arms at sides.  2. Jump feet apart while swinging arms outward.  3. Jump feet in, crossing one foot over.  4. Alternate crossing legs.",Intermediate,"Plyometric, HIIT",https://youtube.com/shorts/TCBtws9cezA?si=07py92g8LQE4i30q,
Butt Tap to Jump,Abductors,Cardio,6.5,1. Lower into a deep squat.  2. Tap surface or go low enough to mimic tapping.  3. Explode into a jump.  4. Land softly and repeat.,Intermediate,"Plyometric, HIIT",Link not available,
Square Hop,Quadriceps,Cardio,6.5,1. Imagine or draw a square on floor.  2. Hop with both feet to each corner in order.  3. Land softly and maintain rhythm.  4. Reverse direction after a round.,Intermediate,"Plyometric, HIIT",https://youtube.com/shorts/RZPGgBHhO54?si=n8yIEfGwYrogjLnU,
Speed Skater,Quadriceps,Cardio,6.5,1. Leap laterally from one leg to the other.  2. Swing opposite arm across body.  3. Land lightly and stay balanced.  4. Keep pace brisk and steady.,Intermediate,"Plyometric, HIIT",https://youtube.com/shorts/0Xio0vwEAh0?si=2juj2-FcAMK0UHSS,
Seal Jack,Quadriceps,Cardio,6.5,1. Stand with arms extended in front.  2. Jump feet apart while swinging arms wide.  3. Jump back to start.  4. Keep movement smooth and rhythmic.,Beginner,"Plyometric, HIIT",https://youtu.be/F_Ut_OYIE64?si=HdFcf64XVYuzzhC_,
Lateral Bounding Hop,Quadriceps,Cardio,6.5,1. Stand on one leg.  2. Leap sideways to land on opposite leg and jump.  3. Swing arms for balance and power.  4. Repeat side to side in rhythm.,Advanced,"Plyometric, HIIT",https://youtube.com/shorts/CdVzy3NS6fY?si=sLSrZc2uCrw5-zNW,
Staggered push-up,Chest,Strength,6.5,"1. Begin in plank with one hand forward, one back.  2. Lower chest to floor.  3. Push back up and switch hand positions.  4. Keep body aligned and core tight.",Intermediate,None,https://youtube.com/shorts/owoZN5VGGh4?si=wmcfVpAE1zT6WKS7,
Frog push-up,Chest,Strength,6.5,1. Start in push-up position.  2. Lower chest while bending knees out to sides.  3. Return to plank as you push up.  4. Keep movement controlled.,Intermediate,None,Link not available,
Pike Push-Up,Chest,Strength,6.5,1. Begin in downward dog position.  2. Lower head toward the ground by bending elbows.  3. Push back up to start.  4. Focus on shoulders and keep core engaged.,Intermediate,None,https://youtube.com/shorts/xvOSkm3CGGk?si=rp9222JVHEseTSNT,
Burpee to Forward Lunge,Abdominals,Cardio,7,"1. Perform a burpee.  2. As you rise, step into a forward lunge.  3. Return to start and repeat with opposite leg.  4. Keep movement continuous.",Advanced,"Plyometric, HIIT",Link not available,
Typewriter push-up,Chest,Strength,7,1. Start in wide push-up position.  2. Lower chest and shift weight side to side.  3. Push back up at end of movement.  4. Stay low and controlled.,Advanced,None,https://youtube.com/shorts/sSj7dSC-bGI?si=1PnukVMDcFWVa-NY,
Fast Feet To Push-Up,Chest,Strength,7,1. Do quick high steps in place.  2. Drop into push-up position.  3. Perform one push-up.  4. Jump back to feet and repeat.,Advanced,"Plyometric, HIIT",https://youtube.com/shorts/X35Nv8gmhkg?si=py7T4eXAdoGI6Mar,
Daisy Cutter,Glutes,Cardio,7.5,1. Start in a squat.  2. Reach one hand diagonally toward opposite foot.  3. Stand and switch sides.  4. Maintain squat depth throughout.,Intermediate,None,Link not available,
Burpee,Full body,Cardio,8,1. Squat down and place hands on floor.  2. Jump feet back to plank.  3. Jump feet forward and explode upward.  4. Land softly and repeat.,Intermediate,"Plyometric, HIIT",https://youtube.com/shorts/zlYA1SENYG4?si=x318giDQY33g00ZD,
Arms-Crossed Jump Squat,Neck,Strength,8,1. Start in a squat with arms crossed.  2. Jump up explosively.  3. Land back into squat with arms still crossed.  4. Keep chest up and back straight.,Advanced,"Plyometric, HIIT",Link not available,
Star Jump,Quadriceps,Cardio,8,"1. Begin in a squat.  2. Jump explosively, spreading arms and legs wide.  3. Land softly back into squat.  4. Engage core for control.",Advanced,"Plyometric, HIIT",https://youtube.com/shorts/8jD01wa6GxM?si=pnp0NDHMmmPyH-Rr,
Jumping Jack,Quadriceps,Cardio,8,"1. Stand with feet together, arms at sides.  2. Jump feet out while raising arms overhead.  3. Jump back to start.  4. Repeat rhythmically.",Beginner,"Plyometric, HIIT",https://youtube.com/shorts/bT2iY8IjEU0?si=grd_zMrHZPf2SxHA,
Traveling High Knees to Squat Thrust,Glutes,Cardio,8.5,1. Run forward with high knees.  2. Drop into squat thrust.  3. Jump feet back and forward.  4. Stand and continue moving forward.,Advanced,"Plyometric, HIIT",Link not available,
Knee Tuck Jump,Glutes,Cardio,8.5,1. Stand tall.  2. Jump up and tuck both knees toward chest.  3. Land softly.  4. Use arms for power.,Advanced,"Plyometric, HIIT",https://youtube.com/shorts/YGYNO1obQV0?si=dBC1XMlRTBNxywww,
Rocket Jump,Glutes,Cardio,8.5,1. Begin in squat.  2. Jump straight up with arms reaching high.  3. Land softly back into squat.  4. Explode upward each rep.,Advanced,"Plyometric, HIIT",https://youtu.be/JPlK7BR1NCw?si=_r0cdTTyii0Yw8h0,
In-Out Jump Squat,Quadriceps,Cardio,8.5,1. Start with feet together in squat.  2. Jump feet wide into another squat.  3. Jump back to narrow squat.  4. Keep chest lifted.,Advanced,"Plyometric, HIIT",https://youtube.com/shorts/OAynXpPCzfE?si=KHrvgYjWE7RohKit,
Wide Squat Thrust,Quadriceps,Core,8.5,1. Begin in wide squat.  2. Place hands down and jump feet back wide into plank.  3. Jump feet forward to wide squat.  4. Stay low and controlled.,Advanced,"Plyometric, HIIT",https://youtu.be/NaRAdkm4VKg?si=6VMVNJTj5aqh49-m,
Vertical Mountain Climber,Quadriceps,Cardio,9,1. Stand tall.  2. Run in place with high knees.  3. Reach arms overhead as if climbing.  4. Move fast with strong posture.,Advanced,"Plyometric, HIIT",https://youtu.be/I0JhUIhvtDw?si=qX37lKBiTuECVKZO,
Tuck Jump with Knee Slap,Quadriceps,Cardio,9,1. Stand with arms at sides.  2. Jump and slap knees mid-air.  3. Land softly.  4. Reset and repeat with power.,Advanced,"Plyometric, HIIT",https://youtube.com/shorts/YGYNO1obQV0?si=_EAYTO9vdsq6Ug1T,
Burpee to Flying Jack,Quadriceps,Cardio,9.5,"1. Do a burpee.  2. As you jump up, perform a jumping jack mid-air.  3. Land softly.  4. Return to burpee.",Advanced,"Plyometric, HIIT",https://youtu.be/SyPKS9vq0ss?si=CcT3YmQVyq5EELG2,
Tuck-Up Burpee,Quadriceps,Strength,10,"1. Do a burpee.  2. As you jump up, pull knees toward chest.  3. Land and continue.  4. Maintain rhythm and core control.",Advanced,"Plyometric, HIIT",Link not available,
Burpee with Belly Touch,Quadriceps,Cardio,10,"1. Begin standing.  2. Drop into a push-up position, lower body fully to the ground.  3. Touch chest/belly to floor.  4. Push up, jump to feet, and jump vertically.",Advanced,"Plyometric, HIIT",Link not available,
Jumping rope,Quadriceps,Cardio,12.3,1. Hold rope handles with both hands.  2. Swing rope overhead and jump as it passes under feet.  3. Stay light on toes.  4. Maintain a steady rhythm.,Beginner,"Plyometric, HIIT",https://youtube.com/shorts/Nssl3QZL6L8?si=lh-2cunsBCrcSNb9,
